Date,Open,High,Low,Close,Volume,Market Cap
Apr-27-2022,39235.7651,40306.95215533668,38935.6728,39749.9386,65834105863.16084,753560180406.2151
Apr-28-2022,39746.6764,39909.9063,38197.3721,38592.0044169865,67804116465.77778,743673916875.6494
Apr-29-2022,38600.0198503306,38767.5896,37653.4124271168,37660.452922140656,56363985095.111115,732444173875.6274
Apr-30-2022,37636.0214183511,38615.5987,37572.22979998869,38467.094,49695227037.820786,723843145851.6198
May-01-2022,38465.5131,39073.3888896401,38223.90525184344,38503.90959019409,65011354367.01158,736164254475.7926
May-02-2022,38509.9527675975,38641.79102021749,37542.86699176031,37732.2997523189,64576497095.111115,728004459988.9993
May-03-2022,37723.63988854195,39925.6099,37677.8972951729,39699.0339591762,57656679965.25714,738713445755.2025
May-04-2022,39690.0317,39793.9173,35756.46092648373,36568.7596,71671425773.2683,731324627995.9501
May-05-2022,36571.6072,36581.65967991304,35403.45740728784,36033.0634,84644729016.88889,688126748876.6162
May-06-2022,36019.5551,36121.83240619105,34857.2501,35552.564,52179098249.36585,682599940832.8097
May-07-2022,35478.5649,35496.13500451754,33828.1358,33933.54281002884,59930329173.333336,657631808942.3683
May-08-2022,34062.89399546784,34215.7391,30184.775687260437,30363.865616615807,77739876770.25352,621850069688.9314
May-09-2022,30106.4345631016,32574.539855068237,29853.414538436493,31024.7033,127314423495.11111,596373223036.4463
May-10-2022,31000.9768,32038.594344299054,28303.805558669173,28984.5358,103426550994.50871,582283878616.3818
May-11-2022,29044.2593,30133.2174,26812.8459,29130.0386,137849705984,543919496621.11694
May-12-2022,29012.3858,30990.356159510426,28784.978,29250.004,143425804515.55554,574594869134.2246
May-13-2022,29289.7779,30255.8115,28735.710173486277,30123.7756,66074598286.22222,559872002421.0912
May-14-2022,30076.9329,31390.4799,29512.2442,31333.765617069977,45280980437.333336,573617058982.2653
May-15-2022,31293.22238528581,31293.22238528581,29239.16079894688,29880.548164234533,55757204906.666664,570951550317.4952
May-16-2022,29833.05249547627,30731.7049,29532.7609,30452.624328329548,54496429838.22222,576731773060.6437
May-17-2022,30446.067278936705,30622.945355751872,28714.1184,28760.1539,66819677365.96516,563937579946.5153
May-18-2022,28696.6142,30496.06038912437,28696.6142,30376.331478606928,77876670965.25874,562865558972.1808
May-19-2022,30319.70836754256,30698.266042898525,28761.511408153645,29234.032909858925,64020598172.44444,567830871551.01
May-20-2022,29205.287516253396,29593.57411058412,28992.4553,29449.985559922392,48647341319.111115,558928566961.9489
May-21-2022,29445.062122180065,30426.8779609496,29246.77654664081,30366.04222096173,34792840362.666664,567574103618.3665
May-22-2022,30295.927741628228,30619.925588456168,28887.00372215652,29114.081131154417,49091907997.88153,573306612491.278
May-23-2022,29096.33018763284,29794.4733,28749.97892772603,29674.1123,61173457223.111115,558378843638.2286
May-24-2022,29654.5966,30201.4321,29382.542394489537,29557.533735644305,59054062151.111115,566957692688.2798
May-25-2022,29554.5432,29868.8204,28143.43486121561,29353.619262832577,67488629632,561112897767.9299
May-26-2022,29194.91,29357.66681488951,28291.035137326708,28606.47447261681,79709591395.55556,550545723746.2874